# (c) Die Bundeswahlleiterin, Statistische Ämter des Bundes und der Länder, Wiesbaden 2024;;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Wahlkreise und zugeordnete Gemeinden bei der Wahl zum 21. Deutschen Bundestag (gemäß 27. Gesetz zur Änderung des Bundeswahlgesetzes vom 07.03.2024 (BGBl. 2024 I Nr. 91) und Bekanntmachung zur Wahlkreiseinteilung vom 27.12.2024 (BGBl. 2024 I Nr. 437));;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Gebietsstand: 30.11.2024;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
Wahlkreis-Nr;Wahlkreis-Bez;RGS_Land;RGS_RegBez;RGS_Kreis;RGS_GemVerband;RGS_Gemeinde;Landname;RegBez-Name;Kreisname;GemVerband-Name;Gemeindename;Gemeindeteil;Wahlkreis-von;Wahlkreis-bis;PLZ-GemVerwaltung;PLZ-mehrere
001;Flensburg – Schleswig;01;0;59;5987;098;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Nübel;;;;24881;
001;Flensburg – Schleswig;01;0;59;5987;189;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Brodersby-Goltoft;;;;24864;
001;Flensburg – Schleswig;01;0;59;5990;102;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Ahneby;;;;24996;
001;Flensburg – Schleswig;01;0;59;5990;109;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Esgrus;;;;24402;
001;Flensburg – Schleswig;01;0;59;5990;112;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Gelting;;;;24395;
001;Flensburg – Schleswig;01;0;59;5990;121;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Hasselberg;;;;24376;
001;Flensburg – Schleswig;01;0;59;5990;136;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Kronsgaard;;;;24395;
001;Flensburg – Schleswig;01;0;59;5990;142;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Maasholm;;;;24404;*****
001;Flensburg – Schleswig;01;0;59;5990;147;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Nieby;;;;24395;
001;Flensburg – Schleswig;01;0;59;5990;148;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Niesgrau;;;;24395;
