Stand;Satzart;Wahlkreisnr;Kreisnr;Gemeindenr;Wahlbezirksnr;Name;Gemeinde mit eigenem Briefwahlbezirk;abgebend nach Gemeinde/Wahlbezirk;aufnehmend von Gemeinde/Wahlbezirk;Anzahl Wahlbezirke;;Wahlberechtigte;Wähler;Wahlbeteiligung;Erststimmen;;Zweitstimmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;insgesamt;erfasst;;;;ungültige;gültige;ungültige;gültige;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Erststimmen;
;;;;;;;;;;;;;;;;;;;AfD;;AfD;;SPD;;SPD;;CDU;;CDU;;Die Linke;;Die Linke;;FDP;;FDP;;GRÜNE;;GRÜNE;;FREIE WÄHLER;;FREIE WÄHLER;;Volt;;Volt;;MLPD;;MLPD;;BÜNDNIS DEUTSCHLAND;;BÜNDNIS DEUTSCHLAND;;BSW;;BSW;;Einzelbewerber;;Einzelbewerber;
;;;;;;;;;;;;;;;;;;;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%
V;;188;61;075;0001;Pfaffschwende;;;;1;1;227;170; 74,9;2;168;2;168;74; 44,0;72; 42,9;7; 4,2;9; 5,4;60; 35,7;49; 29,2;11; 6,5;15; 8,9;5; 3,0;3; 1,8;1; 0,6;2; 1,2;-;-;2; 1,2;-;-;1; 0,6;1; 0,6;1; 0,6;-;-;2; 1,2;9; 5,4;12; 7,1;-;-;-;-
V;G;188;61;076;0000;Reinholterode;;;;1;1;604;464; 76,8;4;460;2;462;166; 36,1;160; 34,6;20; 4,3;20; 4,3;220; 47,8;196; 42,4;19; 4,1;29; 6,3;11; 2,4;17; 3,7;13; 2,8;17; 3,7;-;-;5; 1,1;-;-;-;-;1; 0,2;1; 0,2;-;-;-;-;10; 2,2;17; 3,7;-;-;-;-
V;;188;61;076;0001;Reinholterode;;;;1;1;604;464; 76,8;4;460;2;462;166; 36,1;160; 34,6;20; 4,3;20; 4,3;220; 47,8;196; 42,4;19; 4,1;29; 6,3;11; 2,4;17; 3,7;13; 2,8;17; 3,7;-;-;5; 1,1;-;-;-;-;1; 0,2;1; 0,2;-;-;-;-;10; 2,2;17; 3,7;-;-;-;-
V;G;188;61;078;0000;Rohrberg;;;;1;1;186;159; 85,5;3;156;1;158;46; 29,5;49; 31,0;9; 5,8;11; 7,0;73; 46,8;61; 38,6;17; 10,9;18; 11,4;1; 0,6;2; 1,3;2; 1,3;7; 4,4;-;-;1; 0,6;-;-;-;-;-;-;-;-;-;-;-;-;8; 5,1;9; 5,7;-;-;-;-
V;;188;61;078;0001;Rohrberg;;;;1;1;186;159; 85,5;3;156;1;158;46; 29,5;49; 31,0;9; 5,8;11; 7,0;73; 46,8;61; 38,6;17; 10,9;18; 11,4;1; 0,6;2; 1,3;2; 1,3;7; 4,4;-;-;1; 0,6;-;-;-;-;-;-;-;-;-;-;-;-;8; 5,1;9; 5,7;-;-;-;-
V;G;188;61;082;0000;Rustenfelde;;;;1;1;401;306; 76,3;4;302;4;302;112; 37,1;112; 37,1;26; 8,6;21; 7,0;128; 42,4;114; 37,7;17; 5,6;19; 6,3;8; 2,6;11; 3,6;5; 1,7;9; 3,0;-;-;4; 1,3;-;-;1; 0,3;-;-;-;-;-;-;-;-;6; 2,0;11; 3,6;-;-;-;-
V;;188;61;082;0001;Rustenfelde;;;;1;1;401;306; 76,3;4;302;4;302;112; 37,1;112; 37,1;26; 8,6;21; 7,0;128; 42,4;114; 37,7;17; 5,6;19; 6,3;8; 2,6;11; 3,6;5; 1,7;9; 3,0;-;-;4; 1,3;-;-;1; 0,3;-;-;-;-;-;-;-;-;6; 2,0;11; 3,6;-;-;-;-
V;G;188;61;083;0000;Schachtebich;;;;1;1;197;129; 65,5;-;129;-;129;24; 18,6;26; 20,2;13; 10,1;15; 11,6;60; 46,5;49; 38,0;11; 8,5;14; 10,9;5; 3,9;5; 3,9;5; 3,9;6; 4,7;-;-;2; 1,6;-;-;1; 0,8;1; 0,8;1; 0,8;-;-;-;-;10; 7,8;10; 7,8;-;-;-;-
V;;188;61;083;0001;Schachtebich;;;;1;1;197;129; 65,5;-;129;-;129;24; 18,6;26; 20,2;13; 10,1;15; 11,6;60; 46,5;49; 38,0;11; 8,5;14; 10,9;5; 3,9;5; 3,9;5; 3,9;6; 4,7;-;-;2; 1,6;-;-;1; 0,8;1; 0,8;1; 0,8;-;-;-;-;10; 7,8;10; 7,8;-;-;-;-
V;G;188;61;085;0000;Schwobfeld;;;;1;1;86;71; 82,6;-;71;-;71;30; 42,3;32; 45,1;1; 1,4;1; 1,4;25; 35,2;20; 28,2;6; 8,5;7; 9,9;6; 8,5;7; 9,9;-;-;-;-;-;-;2; 2,8;-;-;-;-;-;-;-;-;-;-;-;-;3; 4,2;2; 2,8;-;-;-;-
V;;188;61;085;0001;Schwobfeld;;;;1;1;86;71; 82,6;-;71;-;71;30; 42,3;32; 45,1;1; 1,4;1; 1,4;25; 35,2;20; 28,2;6; 8,5;7; 9,9;6; 8,5;7; 9,9;-;-;-;-;-;-;2; 2,8;-;-;-;-;-;-;-;-;-;-;-;-;3; 4,2;2; 2,8;-;-;-;-
V;G;188;61;086;0000;Sickerode;;;;1;1;102;80; 78,4;-;80;-;80;19; 23,8;21; 26,3;5; 6,3;5; 6,3;42; 52,5;38; 47,5;3; 3,8;4; 5,0;5; 6,3;6; 7,5;2; 2,5;1; 1,3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4; 5,0;5; 6,3;-;-;-;-
