Stand;Satzart;Wahlkreisnr;Kreisnr;Gemeindenr;Wahlbezirksnr;Name;Gemeinde mit eigenem Briefwahlbezirk;abgebend nach Gemeinde/Wahlbezirk;aufnehmend von Gemeinde/Wahlbezirk;Anzahl Wahlbezirke;;Wahlberechtigte;Wähler;Wahlbeteiligung;Erststimmen;;Zweitstimmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;insgesamt;erfasst;;;;ungültige;gültige;ungültige;gültige;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Erststimmen;
;;;;;;;;;;;;;;;;;;;AfD;;AfD;;SPD;;SPD;;CDU;;CDU;;Die Linke;;Die Linke;;FDP;;FDP;;GRÜNE;;GRÜNE;;FREIE WÄHLER;;FREIE WÄHLER;;Volt;;Volt;;MLPD;;MLPD;;BÜNDNIS DEUTSCHLAND;;BÜNDNIS DEUTSCHLAND;;BSW;;BSW;;Einzelbewerber;;Einzelbewerber;
;;;;;;;;;;;;;;;;;;;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%
V;;192;51;000;9064;Briefwahlbezirk 9064 Brühlervorstadt;;;;1;1;-;598;-;1;597;-;598;57; 9,5;68; 11,4;64; 10,7;93; 15,6;144; 24,1;164; 27,4;235; 39,4;101; 16,9;15; 2,5;20; 3,3;44; 7,4;94; 15,7;7; 1,2;6; 1,0;-;-;5; 0,8;-;-;1; 0,2;-;-;-;-;31; 5,2;46; 7,7;-;-;-;-
V;;192;51;000;9065;Briefwahlbezirk 9065 Andreasvorstadt;;;;1;1;-;515;-;2;513;3;512;73; 14,2;70; 13,7;42; 8,2;51; 10,0;82; 16,0;91; 17,8;246; 48,0;158; 30,9;11; 2,1;9; 1,8;33; 6,4;86; 16,8;3; 0,6;4; 0,8;-;-;3; 0,6;-;-;-;-;-;-;1; 0,2;23; 4,5;39; 7,6;-;-;-;-
V;;192;51;000;9066;Briefwahlbezirk 9066 Andreasvorstadt;;;;1;1;-;509;-;3;506;3;506;72; 14,2;77; 15,2;46; 9,1;59; 11,7;71; 14,0;76; 15,0;249; 49,2;156; 30,8;7; 1,4;11; 2,2;24; 4,7;64; 12,6;5; 1,0;4; 0,8;-;-;2; 0,4;1; 0,2;1; 0,2;-;-;2; 0,4;31; 6,1;54; 10,7;-;-;-;-
V;;192;51;000;9067;Briefwahlbezirk 9067 Andreasvorstadt;;;;1;1;-;513;-;3;510;5;508;53; 10,4;56; 11,0;48; 9,4;74; 14,6;74; 14,5;75; 14,8;259; 50,8;143; 28,1;6; 1,2;10; 2,0;39; 7,6;94; 18,5;5; 1,0;5; 1,0;-;-;7; 1,4;1; 0,2;-;-;-;-;-;-;25; 4,9;44; 8,7;-;-;-;-
V;;192;51;000;9068;Briefwahlbezirk 9068 Krämpfervorstadt;;;;1;1;-;542;-;3;539;6;536;69; 12,8;74; 13,8;38; 7,1;60; 11,2;68; 12,6;87; 16,2;289; 53,6;155; 28,9;13; 2,4;16; 3,0;28; 5,2;75; 14,0;7; 1,3;3; 0,6;-;-;21; 3,9;-;-;-;-;-;-;2; 0,4;27; 5,0;43; 8,0;-;-;-;-
V;;192;51;000;9069;Briefwahlbezirk 9069 Krämpfervorstadt;;;;1;1;-;548;-;-;548;-;548;58; 10,6;66; 12,0;35; 6,4;58; 10,6;102; 18,6;109; 19,9;280; 51,1;132; 24,1;9; 1,6;18; 3,3;28; 5,1;88; 16,1;5; 0,9;8; 1,5;-;-;15; 2,7;-;-;-;-;-;-;3; 0,5;31; 5,7;51; 9,3;-;-;-;-
V;;192;51;000;9070;Briefwahlbezirk 9070 Krämpfervorstadt;;;;1;1;-;548;-;3;545;3;545;71; 13,0;75; 13,8;35; 6,4;61; 11,2;89; 16,3;100; 18,3;279; 51,2;157; 28,8;13; 2,4;16; 2,9;32; 5,9;73; 13,4;5; 0,9;5; 0,9;-;-;10; 1,8;-;-;-;-;-;-;3; 0,6;21; 3,9;45; 8,3;-;-;-;-
V;;192;51;000;9071;Briefwahlbezirk 9071 Daberstedt;;;;1;1;-;501;-;3;498;4;497;60; 12,0;62; 12,5;57; 11,4;75; 15,1;87; 17,5;97; 19,5;213; 42,8;98; 19,7;8; 1,6;14; 2,8;30; 6,0;84; 16,9;10; 2,0;6; 1,2;-;-;7; 1,4;1; 0,2;2; 0,4;-;-;-;-;32; 6,4;52; 10,5;-;-;-;-
V;;192;51;000;9072;Briefwahlbezirk 9072 Daberstedt;;;;1;1;-;492;-;2;490;2;490;68; 13,9;67; 13,7;61; 12,4;80; 16,3;89; 18,2;109; 22,2;212; 43,3;115; 23,5;6; 1,2;16; 3,3;12; 2,4;38; 7,8;4; 0,8;2; 0,4;-;-;3; 0,6;1; 0,2;1; 0,2;-;-;2; 0,4;37; 7,6;57; 11,6;-;-;-;-
V;;192;51;000;9073;Briefwahlbezirk 9073 Daberstedt;;;;1;1;-;449;-;1;448;2;447;86; 19,2;90; 20,1;30; 6,7;63; 14,1;89; 19,9;107; 23,9;184; 41,1;95; 21,3;3; 0,7;4; 0,9;20; 4,5;38; 8,5;4; 0,9;7; 1,6;-;-;4; 0,9;1; 0,2;1; 0,2;-;-;-;-;31; 6,9;38; 8,5;-;-;-;-
V;;192;51;000;9074;Briefwahlbezirk 9074 Ilversgehofen;;;;1;1;-;492;-;-;492;-;492;76; 15,4;73; 14,8;44; 8,9;66; 13,4;84; 17,1;88; 17,9;225; 45,7;124; 25,2;5; 1,0;8; 1,6;22; 4,5;70; 14,2;8; 1,6;11; 2,2;-;-;8; 1,6;-;-;-;-;-;-;2; 0,4;28; 5,7;42; 8,5;-;-;-;-
V;;192;51;000;9075;Briefwahlbezirk 9075 Ilversgehofen;;;;1;1;-;493;-;1;492;1;492;90; 18,3;96; 19,5;54; 11,0;64; 13,0;90; 18,3;101; 20,5;201; 40,9;132; 26,8;5; 1,0;9; 1,8;14; 2,8;32; 6,5;5; 1,0;6; 1,2;-;-;8; 1,6;2; 0,4;2; 0,4;-;-;1; 0,2;31; 6,3;41; 8,3;-;-;-;-
V;G;192;55;000;0000;Weimar, Stadt;x;;;81;81;49420;40688; 82,3;318;40370;353;40335;9709; 24,1;9756; 24,2;3337; 8,3;4298; 10,7;6250; 15,5;6755; 16,7;15652; 38,8;9360; 23,2;741; 1,8;1117; 2,8;1719; 4,3;4434; 11,0;372; 0,9;374; 0,9;-;-;373; 0,9;50; 0,1;41; 0,1;-;-;85; 0,2;2540; 6,3;3742; 9,3;-;-;-;-
V;;192;55;000;0001;WE01 Volkshochschule;;;;1;1;1326;741; 55,9;4;737;5;736;120; 16,3;123; 16,7;54; 7,3;72; 9,8;93; 12,6;104; 14,1;387; 52,5;219; 29,8;10; 1,4;16; 2,2;38; 5,2;139; 18,9;2; 0,3;3; 0,4;-;-;11; 1,5;-;-;1; 0,1;-;-;-;-;33; 4,5;48; 6,5;-;-;-;-
V;;192;55;000;0002;WE02 Stadtverwaltung Weimar;;;;1;1;1259;709; 56,3;6;703;4;705;97; 13,8;99; 14,0;46; 6,5;67; 9,5;81; 11,5;93; 13,2;388; 55,2;219; 31,1;12; 1,7;21; 3,0;33; 4,7;121; 17,2;6; 0,9;4; 0,6;-;-;8; 1,1;-;-;1; 0,1;-;-;2; 0,3;40; 5,7;70; 9,9;-;-;-;-
V;;192;55;000;0003;WE03 J.-Landenberger-Schule 1;;;;1;1;880;474; 53,9;3;471;3;471;44; 9,3;49; 10,4;38; 8,1;47; 10,0;59; 12,5;61; 13,0;282; 59,9;182; 38,6;6; 1,3;13; 2,8;24; 5,1;89; 18,9;2; 0,4;3; 0,6;-;-;4; 0,8;-;-;-;-;-;-;-;-;16; 3,4;23; 4,9;-;-;-;-
V;;192;55;000;0004;WE04 Staatliche Gemeinschaftsschule 2;;;;1;1;961;520; 54,1;-;520;-;520;136; 26,2;131; 25,2;34; 6,5;59; 11,3;95; 18,3;92; 17,7;188; 36,2;97; 18,7;5; 1,0;19; 3,7;20; 3,8;56; 10,8;2; 0,4;2; 0,4;-;-;9; 1,7;1; 0,2;-;-;-;-;2; 0,4;39; 7,5;53; 10,2;-;-;-;-
V;;192;55;000;0005;WE05 J.-Landenberger-Schule 2;;;;1;1;825;472; 57,2;5;467;7;465;61; 13,1;55; 11,8;35; 7,5;48; 10,3;46; 9,9;48; 10,3;270; 57,8;167; 35,9;4; 0,9;13; 2,8;26; 5,6;95; 20,4;-;-;2; 0,4;-;-;3; 0,6;-;-;-;-;-;-;-;-;25; 5,4;34; 7,3;-;-;-;-
V;;192;55;000;0006;WE06 Pestalozzi-Regelschule 1;;;;1;1;864;495; 57,3;1;494;1;494;71; 14,4;67; 13,6;40; 8,1;52; 10,5;47; 9,5;56; 11,3;271; 54,9;163; 33,0;9; 1,8;18; 3,6;29; 5,9;92; 18,6;3; 0,6;3; 0,6;-;-;5; 1,0;-;-;-;-;-;-;1; 0,2;24; 4,9;37; 7,5;-;-;-;-
V;;192;55;000;0007;WE07 Pestalozzi-Regelschule  2;;;;1;1;791;445; 56,3;3;442;3;442;56; 12,7;59; 13,3;33; 7,5;50; 11,3;77; 17,4;66; 14,9;219; 49,5;133; 30,1;6; 1,4;15; 3,4;19; 4,3;73; 16,5;2; 0,5;1; 0,2;-;-;6; 1,4;-;-;-;-;-;-;-;-;30; 6,8;39; 8,8;-;-;-;-
V;;192;55;000;0008;WE08 Staatliche Gemeinschaftsschule 1;;;;1;1;894;518; 57,9;3;515;2;516;73; 14,2;74; 14,3;40; 7,8;44; 8,5;46; 8,9;54; 10,5;300; 58,3;189; 36,6;5; 1,0;10; 1,9;30; 5,8;111; 21,5;1; 0,2;4; 0,8;-;-;4; 0,8;-;-;-;-;-;-;-;-;20; 3,9;26; 5,0;-;-;-;-
V;;192;55;000;0009;WE09 Pestalozzi Regelschule 3;;;;1;1;853;465; 54,5;2;463;3;462;64; 13,8;66; 14,3;30; 6,5;54; 11,7;64; 13,8;63; 13,6;253; 54,6;147; 31,8;8; 1,7;12; 2,6;20; 4,3;80; 17,3;2; 0,4;-;-;-;-;4; 0,9;-;-;-;-;-;-;3; 0,6;22; 4,8;33; 7,1;-;-;-;-
V;;192;55;000;0010;WE10 F.-Schiller-Gymnasium 1;;;;1;1;1043;565; 54,2;3;562;3;562;140; 24,9;146; 26,0;46; 8,2;43; 7,7;69; 12,3;75; 13,3;236; 42,0;141; 25,1;9; 1,6;20; 3,6;28; 5,0;79; 14,1;10; 1,8;8; 1,4;-;-;2; 0,4;-;-;-;-;-;-;1; 0,2;24; 4,3;47; 8,4;-;-;-;-
V;;192;55;000;0011;WE11 F.-Schiller-Gymnasium 2;;;;1;1;1206;680; 56,4;4;676;4;676;150; 22,2;143; 21,2;57; 8,4;83; 12,3;78; 11,5;87; 12,9;312; 46,2;184; 27,2;9; 1,3;16; 2,4;29; 4,3;92; 13,6;8; 1,2;9; 1,3;-;-;8; 1,2;-;-;-;-;-;-;2; 0,3;33; 4,9;52; 7,7;-;-;-;-
V;;192;55;000;0012;WE12 SBBS `F. J. Bertuch` 1;;;;1;1;989;567; 57,3;5;562;4;563;137; 24,4;126; 22,4;36; 6,4;45; 8,0;69; 12,3;82; 14,6;236; 42,0;165; 29,3;9; 1,6;16; 2,8;20; 3,6;57; 10,1;5; 0,9;7; 1,2;-;-;10; 1,8;1; 0,2;-;-;-;-;3; 0,5;49; 8,7;52; 9,2;-;-;-;-
V;;192;55;000;0013;WE13 SBBS `F. J. Bertuch` 2;;;;1;1;985;566; 57,5;3;563;6;560;160; 28,4;161; 28,8;46; 8,2;63; 11,3;75; 13,3;74; 13,2;214; 38,0;133; 23,8;12; 2,1;15; 2,7;13; 2,3;39; 7,0;8; 1,4;8; 1,4;-;-;4; 0,7;2; 0,4;3; 0,5;-;-;-;-;33; 5,9;60; 10,7;-;-;-;-
V;;192;55;000;0014;WE14 SBBS `F. J. Bertuch` 3;;;;1;1;968;577; 59,6;-;577;-;577;179; 31,0;182; 31,5;39; 6,8;49; 8,5;55; 9,5;59; 10,2;230; 39,9;168; 29,1;9; 1,6;20; 3,5;23; 4,0;50; 8,7;10; 1,7;5; 0,9;-;-;8; 1,4;1; 0,2;1; 0,2;-;-;1; 0,2;31; 5,4;34; 5,9;-;-;-;-
V;;192;55;000;0015;WE15 Park Regelschule 1;;;;1;1;859;485; 56,5;1;484;3;482;97; 20,0;95; 19,7;33; 6,8;47; 9,8;67; 13,8;66; 13,7;220; 45,5;134; 27,8;14; 2,9;16; 3,3;25; 5,2;78; 16,2;5; 1,0;1; 0,2;-;-;6; 1,2;1; 0,2;2; 0,4;-;-;3; 0,6;22; 4,5;34; 7,1;-;-;-;-
V;;192;55;000;0016;WE16 Park Regelschule 2;;;;1;1;983;553; 56,3;4;549;4;549;119; 21,7;117; 21,3;35; 6,4;50; 9,1;55; 10,0;62; 11,3;258; 47,0;142; 25,9;15; 2,7;21; 3,8;23; 4,2;89; 16,2;9; 1,6;4; 0,7;-;-;9; 1,6;3; 0,5;2; 0,4;-;-;1; 0,2;32; 5,8;52; 9,5;-;-;-;-
V;;192;55;000;0017;WE17 Park Regelschule 3;;;;1;1;1175;630; 53,6;6;624;5;625;140; 22,4;139; 22,2;40; 6,4;57; 9,1;71; 11,4;83; 13,3;267; 42,8;177; 28,3;17; 2,7;25; 4,0;36; 5,8;69; 11,0;8; 1,3;10; 1,6;-;-;6; 1,0;-;-;-;-;-;-;4; 0,6;45; 7,2;55; 8,8;-;-;-;-
V;;192;55;000;0018;WE18 Jobcenter;;;;1;1;807;451; 55,9;2;449;2;449;96; 21,4;98; 21,8;25; 5,6;37; 8,2;69; 15,4;67; 14,9;199; 44,3;115; 25,6;14; 3,1;20; 4,5;17; 3,8;66; 14,7;5; 1,1;5; 1,1;-;-;7; 1,6;-;-;-;-;-;-;1; 0,2;24; 5,3;33; 7,3;-;-;-;-
V;;192;55;000;0019;WE19 SBBS `F. J. Bertuch` 4;;;;1;1;846;483; 57,1;5;478;6;477;80; 16,7;77; 16,1;30; 6,3;42; 8,8;53; 11,1;57; 11,9;247; 51,7;146; 30,6;12; 2,5;18; 3,8;20; 4,2;68; 14,3;9; 1,9;9; 1,9;-;-;6; 1,3;1; 0,2;2; 0,4;-;-;1; 0,2;26; 5,4;51; 10,7;-;-;-;-
V;;192;55;000;0020;WE20 Cranach-Grundschule 1;;;;1;1;874;443; 50,7;7;436;9;434;183; 42,0;181; 41,7;36; 8,3;40; 9,2;58; 13,3;58; 13,4;123; 28,2;82; 18,9;2; 0,5;6; 1,4;5; 1,1;12; 2,8;3; 0,7;3; 0,7;-;-;4; 0,9;2; 0,5;2; 0,5;-;-;5; 1,2;24; 5,5;41; 9,4;-;-;-;-
V;;192;55;000;0021;WE21 Stiftung Wohnen PLus;;;;1;1;1210;632; 52,2;5;627;5;627;230; 36,7;231; 36,8;60; 9,6;74; 11,8;87; 13,9;86; 13,7;180; 28,7;124; 19,8;14; 2,2;16; 2,6;8; 1,3;19; 3,0;6; 1,0;7; 1,1;-;-;6; 1,0;-;-;1; 0,2;-;-;3; 0,5;42; 6,7;60; 9,6;-;-;-;-
V;;192;55;000;0022;WE22 Staatl. regionales Förderzentrum Herder;;;;1;1;686;369; 53,8;5;364;6;363;152; 41,8;158; 43,5;28; 7,7;26; 7,2;49; 13,5;56; 15,4;98; 26,9;73; 20,1;4; 1,1;5; 1,4;5; 1,4;8; 2,2;2; 0,5;2; 0,6;-;-;1; 0,3;1; 0,3;1; 0,3;-;-;-;-;25; 6,9;33; 9,1;-;-;-;-
V;;192;55;000;0023;WE23 SBBZ `J. Korczak`1;;;;1;1;792;421; 53,2;5;416;3;418;143; 34,4;143; 34,2;25; 6,0;42; 10,0;64; 15,4;74; 17,7;134; 32,2;78; 18,7;8; 1,9;12; 2,9;19; 4,6;35; 8,4;7; 1,7;10; 2,4;-;-;1; 0,2;-;-;-;-;-;-;1; 0,2;16; 3,8;22; 5,3;-;-;-;-
V;;192;55;000;0024;WE24 Cranach-Grundschule 2;;;;1;1;833;462; 55,5;7;455;9;453;207; 45,5;205; 45,3;34; 7,5;35; 7,7;30; 6,6;40; 8,8;127; 27,9;101; 22,3;6; 1,3;8; 1,8;6; 1,3;14; 3,1;5; 1,1;4; 0,9;-;-;1; 0,2;2; 0,4;2; 0,4;-;-;-;-;38; 8,4;43; 9,5;-;-;-;-
V;;192;55;000;0025;WE25 Humboldt-Gymnasium;;;;1;1;754;397; 52,7;2;395;2;395;181; 45,8;181; 45,8;24; 6,1;24; 6,1;45; 11,4;50; 12,7;98; 24,8;73; 18,5;2; 0,5;6; 1,5;8; 2,0;11; 2,8;9; 2,3;6; 1,5;-;-;4; 1,0;-;-;-;-;-;-;1; 0,3;28; 7,1;39; 9,9;-;-;-;-
V;;192;55;000;0026;WE26 Mehrgenerationenhaus Weimar-West;;;;1;1;827;425; 51,4;4;421;4;421;201; 47,7;203; 48,2;30; 7,1;35; 8,3;46; 10,9;41; 9,7;101; 24,0;75; 17,8;3; 0,7;5; 1,2;4; 1,0;9; 2,1;7; 1,7;9; 2,1;-;-;-;-;-;-;-;-;-;-;-;-;29; 6,9;44; 10,5;-;-;-;-
V;;192;55;000;0027;WE27 Seniorenzentrum `Am Pardies` AWO;;;;1;1;578;284; 49,1;7;277;6;278;115; 41,5;112; 40,3;16; 5,8;24; 8,6;38; 13,7;39; 14,0;88; 31,8;64; 23,0;3; 1,1;8; 2,9;4; 1,4;11; 4,0;2; 0,7;1; 0,4;-;-;1; 0,4;-;-;-;-;-;-;-;-;11; 4,0;18; 6,5;-;-;-;-
V;;192;55;000;0028;WE28 Staatl. Gemeinschaftsschule `C. Zeiss` 1;;;;1;1;798;384; 48,1;6;378;11;373;158; 41,8;154; 41,3;30; 7,9;32; 8,6;46; 12,2;42; 11,3;105; 27,8;83; 22,3;1; 0,3;2; 0,5;5; 1,3;7; 1,9;6; 1,6;6; 1,6;-;-;6; 1,6;-;-;1; 0,3;-;-;1; 0,3;27; 7,1;39; 10,5;-;-;-;-
V;;192;55;000;0029;WE29 Staatl. Gemeinschaftsschule `C. Zeiss` 2;;;;1;1;594;340; 57,2;3;337;7;333;158; 46,9;159; 47,7;28; 8,3;32; 9,6;40; 11,9;37; 11,1;81; 24,0;61; 18,3;10; 3,0;9; 2,7;3; 0,9;6; 1,8;2; 0,6;1; 0,3;-;-;3; 0,9;1; 0,3;-;-;-;-;-;-;14; 4,2;25; 7,5;-;-;-;-
V;;192;55;000;0030;WE30 Sitz des Ortsteilbürgermeisters Tröbsdorf;;;;1;1;905;565; 62,4;3;562;6;559;183; 32,6;178; 31,8;49; 8,7;68; 12,2;92; 16,4;91; 16,3;161; 28,6;108; 19,3;11; 2,0;13; 2,3;5; 0,9;21; 3,8;1; 0,2;2; 0,4;-;-;3; 0,5;1; 0,2;-;-;-;-;2; 0,4;59; 10,5;73; 13,1;-;-;-;-
V;;192;55;000;0031;WE31 Sitz des Ortsteilbürgermeisters Gaberndorf;;;;1;1;1270;819; 64,5;8;811;8;811;331; 40,8;339; 41,8;52; 6,4;57; 7,0;154; 19,0;148; 18,2;166; 20,5;102; 12,6;14; 1,7;18; 2,2;13; 1,6;33; 4,1;9; 1,1;8; 1,0;-;-;1; 0,1;-;-;-;-;-;-;3; 0,4;72; 8,9;102; 12,6;-;-;-;-
V;;192;55;000;0032;WE32 Jugendherberge `Am Ettersberg`;;;;1;1;157;86; 54,8;-;86;-;86;39; 45,3;38; 44,2;3; 3,5;4; 4,7;8; 9,3;10; 11,6;27; 31,4;22; 25,6;-;-;1; 1,2;1; 1,2;2; 2,3;1; 1,2;1; 1,2;-;-;-;-;-;-;-;-;-;-;-;-;7; 8,1;8; 9,3;-;-;-;-
V;;192;55;000;0033;WE33 SBBS `F. J. Bertuch`;;;;1;1;589;311; 52,8;4;307;6;305;148; 48,2;148; 48,5;22; 7,2;25; 8,2;43; 14,0;42; 13,8;56; 18,2;47; 15,4;6; 2,0;4; 1,3;4; 1,3;5; 1,6;4; 1,3;5; 1,6;-;-;-;-;-;-;-;-;-;-;-;-;24; 7,8;29; 9,5;-;-;-;-
V;;192;55;000;0034;WE34 Seniorenzentrum `Schillerhöhe` Azurit;;;;1;1;574;266; 46,3;3;263;4;262;108; 41,1;108; 41,2;29; 11,0;33; 12,6;28; 10,6;31; 11,8;64; 24,3;40; 15,3;7; 2,7;9; 3,4;3; 1,1;7; 2,7;5; 1,9;3; 1,1;-;-;3; 1,1;-;-;-;-;-;-;-;-;19; 7,2;28; 10,7;-;-;-;-
V;;192;55;000;0035;WE35 Bürgerzentrum Schöndorf;;;;1;1;1008;532; 52,8;3;529;5;527;256; 48,4;251; 47,6;37; 7,0;31; 5,9;50; 9,5;63; 12,0;128; 24,2;99; 18,8;13; 2,5;10; 1,9;5; 0,9;12; 2,3;9; 1,7;6; 1,1;-;-;1; 0,2;3; 0,6;2; 0,4;-;-;3; 0,6;28; 5,3;49; 9,3;-;-;-;-
V;;192;55;000;0036;WE36 Grundschule Schöndorf;;;;1;1;1081;639; 59,1;5;634;6;633;269; 42,4;263; 41,5;37; 5,8;46; 7,3;96; 15,1;106; 16,7;162; 25,6;96; 15,2;14; 2,2;21; 3,3;6; 0,9;20; 3,2;12; 1,9;10; 1,6;-;-;3; 0,5;1; 0,2;-;-;-;-;4; 0,6;37; 5,8;64; 10,1;-;-;-;-
V;;192;55;000;0037;WE37 Grone-Bildungszentrum 1;;;;1;1;679;451; 66,4;3;448;5;446;188; 42,0;189; 42,4;29; 6,5;37; 8,3;66; 14,7;69; 15,5;104; 23,2;67; 15,0;10; 2,2;13; 2,9;9; 2,0;16; 3,6;3; 0,7;3; 0,7;-;-;1; 0,2;2; 0,4;1; 0,2;-;-;1; 0,2;37; 8,3;49; 11,0;-;-;-;-
V;;192;55;000;0038;WE38 Grone-Bildungszentrum 2;;;;1;1;200;134; 67,0;3;131;3;131;41; 31,3;45; 34,4;11; 8,4;13; 9,9;22; 16,8;25; 19,1;43; 32,8;26; 19,8;4; 3,1;6; 4,6;3; 2,3;3; 2,3;2; 1,5;2; 1,5;-;-;-;-;1; 0,8;-;-;-;-;-;-;4; 3,1;11; 8,4;-;-;-;-
V;;192;55;000;0039;WE39 Kammergut Tiefurt, Mühle;;;;1;1;417;286; 68,6;3;283;-;286;59; 20,8;58; 20,3;37; 13,1;41; 14,3;49; 17,3;56; 19,6;102; 36,0;55; 19,2;4; 1,4;4; 1,4;21; 7,4;52; 18,2;3; 1,1;1; 0,3;-;-;-;-;-;-;-;-;-;-;1; 0,3;8; 2,8;18; 6,3;-;-;-;-
V;;192;55;000;0040;WE40 Freie Ganztagsschule;;;;1;1;963;595; 61,8;1;594;1;594;118; 19,9;126; 21,2;68; 11,4;83; 14,0;102; 17,2;117; 19,7;226; 38,0;107; 18,0;24; 4,0;30; 5,1;21; 3,5;62; 10,4;5; 0,8;8; 1,3;-;-;5; 0,8;2; 0,3;1; 0,2;-;-;1; 0,2;28; 4,7;54; 9,1;-;-;-;-
V;;192;55;000;0041;WE41 Sitz des Ortsteilbürgermeisters Süßenborn;;;;1;1;221;160; 72,4;2;158;2;158;65; 41,1;65; 41,1;11; 7,0;7; 4,4;29; 18,4;32; 20,3;36; 22,8;25; 15,8;1; 0,6;2; 1,3;6; 3,8;9; 5,7;1; 0,6;2; 1,3;-;-;-;-;-;-;-;-;-;-;-;-;9; 5,7;16; 10,1;-;-;-;-
V;;192;55;000;0042;WE42 Wohnpark Haus Clara;;;;1;1;500;297; 59,4;3;294;3;294;75; 25,5;73; 24,8;36; 12,2;50; 17,0;65; 22,1;74; 25,2;80; 27,2;41; 13,9;7; 2,4;10; 3,4;15; 5,1;24; 8,2;-;-;-;-;-;-;1; 0,3;-;-;-;-;-;-;-;-;16; 5,4;21; 7,1;-;-;-;-
V;;192;55;000;0043;WE43 Stiftung EJBW;;;;1;1;539;290; 53,8;1;289;-;290;51; 17,6;53; 18,3;16; 5,5;26; 9,0;58; 20,1;66; 22,8;118; 40,8;53; 18,3;2; 0,7;10; 3,4;18; 6,2;51; 17,6;-;-;-;-;-;-;2; 0,7;1; 0,3;1; 0,3;-;-;-;-;25; 8,7;28; 9,7;-;-;-;-
V;;192;55;000;0044;WE44 Kursana Domizil;;;;1;1;932;540; 57,9;2;538;5;535;113; 21,0;112; 20,9;58; 10,8;70; 13,1;101; 18,8;122; 22,8;197; 36,6;91; 17,0;9; 1,7;23; 4,3;24; 4,5;64; 12,0;1; 0,2;2; 0,4;-;-;2; 0,4;-;-;1; 0,2;-;-;-;-;35; 6,5;48; 9,0;-;-;-;-
V;;192;55;000;0045;WE45 L.-Fürnberg-Grundschule 1;;;;1;1;1055;541; 51,3;3;538;3;538;154; 28,6;160; 29,7;44; 8,2;53; 9,9;94; 17,5;100; 18,6;166; 30,9;115; 21,4;10; 1,9;10; 1,9;18; 3,3;31; 5,8;4; 0,7;3; 0,6;-;-;1; 0,2;1; 0,2;-;-;-;-;-;-;47; 8,7;65; 12,1;-;-;-;-
V;;192;55;000;0046;WE46 Freie Waldorfschule 1;;;;1;1;783;460; 58,7;3;457;7;453;134; 29,3;129; 28,5;43; 9,4;38; 8,4;79; 17,3;79; 17,4;144; 31,5;94; 20,8;6; 1,3;12; 2,6;17; 3,7;44; 9,7;4; 0,9;5; 1,1;-;-;4; 0,9;1; 0,2;-;-;-;-;1; 0,2;29; 6,3;47; 10,4;-;-;-;-
V;;192;55;000;0047;WE47 Freie Waldorfschule 2;;;;1;1;907;538; 59,3;3;535;4;534;136; 25,4;140; 26,2;45; 8,4;48; 9,0;94; 17,6;103; 19,3;185; 34,6;106; 19,9;4; 0,7;16; 3,0;15; 2,8;49; 9,2;4; 0,7;5; 0,9;-;-;1; 0,2;-;-;-;-;-;-;2; 0,4;52; 9,7;64; 12,0;-;-;-;-
V;;192;55;000;0048;WE48 Pestalozzi-Regelschule 4;;;;1;1;781;429; 54,9;2;427;2;427;131; 30,7;127; 29,7;34; 8,0;48; 11,2;58; 13,6;62; 14,5;143; 33,5;87; 20,4;7; 1,6;13; 3,0;21; 4,9;40; 9,4;6; 1,4;5; 1,2;-;-;2; 0,5;-;-;-;-;-;-;-;-;27; 6,3;43; 10,1;-;-;-;-
V;;192;55;000;0049;WE49 Gemeindehaus Taubach;;;;1;1;821;544; 66,3;4;540;5;539;199; 36,9;194; 36,0;36; 6,7;39; 7,2;98; 18,1;100; 18,6;137; 25,4;68; 12,6;11; 2,0;19; 3,5;21; 3,9;63; 11,7;4; 0,7;6; 1,1;-;-;1; 0,2;-;-;1; 0,2;-;-;-;-;34; 6,3;48; 8,9;-;-;-;-
V;;192;55;000;0050;WE50 Park-Grundschule;;;;1;1;660;413; 62,6;2;411;3;410;103; 25,1;104; 25,4;30; 7,3;30; 7,3;66; 16,1;74; 18,0;157; 38,2;102; 24,9;5; 1,2;11; 2,7;19; 4,6;50; 12,2;3; 0,7;2; 0,5;-;-;1; 0,2;-;-;-;-;-;-;1; 0,2;28; 6,8;35; 8,5;-;-;-;-
