Wahl,Ebene,WK-Nr,WK-Name,Ebene,AGS,Ortname,Briefwahl_Sonderfall,genaue Briefwahlzuordung,A1,A2,A3,Wahlberechtigte,Wähler,B1,Briefwähler,ungültige_1,gültige_1,AfD_1,SPD_1,CDU_1,FDP_1,Die Linke_1,GRÜNE_1,FREIE WÄHLER_1,Die PARTEI_1,Volt_1,PdH_1,MLPD_1,BÜNDNIS DEUTSCHLAND_1,BSW_1,EB:Busse_1,EB:Mauer_1,EB:Schubert_1,ungültige_2,gültige_2,AfD_2,SPD_2,CDU_2,FDP_2,Die Linke_2,GRÜNE_2,FREIE WÄHLER_2,Tierschutzpartei_2,Die PARTEI_2,PIRATEN_2,Volt_2,PdH_2,MLPD_2,BÜNDNIS DEUTSCHLAND_2,BSW_2,,Wahlbeteiligung,B1 in %,Briefwähler in %,ungültige_1 in %,gültige_1 in %,AfD_1 in %,SPD_1 in %,CDU_1 in %,FDP_1 in %,Die Linke_1 in %,GRÜNE_1 in %,FREIE WÄHLER_1 in %,Die PARTEI_1 in %,Volt_1 in %,PdH_1 in %,MLPD_1 in %,BÜNDNIS DEUTSCHLAND_1 in %,BSW_1 in %,EB:Busse_1 in %,EB:Mauer_1 in %,EB:Schubert_1 in %,ungültige_2 in %,gültige_2 in %,AfD_2 in %,SPD_2 in %,CDU_2 in %,FDP_2 in %,Die Linke_2 in %,GRÜNE_2 in %,FREIE WÄHLER_2 in %,Tierschutzpartei_2 in %,Die PARTEI_2 in %,PIRATEN_2 in %,Volt_2 in %,PdH_2 in %,MLPD_2 in %,BÜNDNIS DEUTSCHLAND_2 in %,BSW_2 in %
BW25,WK,153,Leipzig-Land,GE,14729040,"Böhlen, Stadt",,,4170,1288,0,5458,4311,1241,1230,26,4285,1611,526,980,114,444,165,130,x,x,14,x,x,301,x,x,x,24,4287,1617,370,876,139,490,216,60,68,19,9,21,7,2,9,384,x,79,29,29,1,99,38,12,23,3,10,4,3,x,x,0,x,x,7,x,x,x,1,99,38,9,20,3,11,5,1,2,0,0,1,0,0,0,9
BW25,WK,153,Leipzig-Land,GE,14729050,"Borna, Stadt",,,12847,2603,0,15450,11619,2497,2486,79,11540,4846,1307,2783,246,1069,242,343,x,x,24,x,x,680,x,x,x,63,11556,4881,1085,2457,330,1087,343,184,136,34,15,48,16,4,12,924,x,75,21,21,1,99,42,11,24,2,9,2,3,x,x,0,x,x,6,x,x,x,1,100,42,9,21,3,9,3,2,1,0,0,0,0,0,0,8
BW25,WK,153,Leipzig-Land,GE,14729060,Borsdorf,,,4997,1696,0,6693,5698,1592,1579,32,5666,1929,626,1573,168,522,265,205,x,x,12,x,x,366,x,x,x,28,5670,1926,542,1376,237,511,328,86,83,21,8,34,4,1,7,506,x,85,28,28,1,99,34,11,28,3,9,5,4,x,x,0,x,x,7,x,x,x,1,100,34,10,24,4,9,6,2,2,0,0,1,0,0,0,9
BW25,WK,153,Leipzig-Land,GE,14729070,"Brandis, Stadt",,,5605,2178,0,7783,6591,2081,2078,26,6565,2583,689,1548,169,556,274,296,x,x,15,x,x,435,x,x,x,19,6572,2595,576,1414,231,529,333,171,64,30,6,32,7,6,9,569,x,85,32,32,0,100,39,11,24,3,9,4,5,x,x,0,x,x,7,x,x,x,0,100,40,9,22,4,8,5,3,1,1,0,1,0,0,0,9
BW25,WK,153,Leipzig-Land,GE,14729080,"Colditz, Stadt",,,5208,1541,0,6749,5329,1479,1468,48,5281,2268,445,1191,148,384,104,331,x,x,14,x,x,396,x,x,x,43,5286,2291,408,1094,187,346,143,196,64,12,5,22,3,3,10,502,x,79,28,28,1,99,43,8,23,3,7,2,6,x,x,0,x,x,8,x,x,x,1,99,43,8,21,4,7,3,4,1,0,0,0,0,0,0,10
BW25,WK,153,Leipzig-Land,GE,14729100,Elstertrebnitz,,,831,229,0,1060,941,226,226,3,938,371,92,266,21,83,34,23,x,x,4,x,x,44,x,x,x,2,939,375,76,226,38,85,42,17,9,7,2,3,1,1,2,55,x,89,24,24,0,100,40,10,28,2,9,4,3,x,x,0,x,x,5,x,x,x,0,100,40,8,24,4,9,5,2,1,1,0,0,0,0,0,6
BW25,WK,153,Leipzig-Land,GE,14729140,"Frohburg, Stadt",,,8266,2024,0,10290,8414,1914,1900,58,8356,3446,1056,2074,196,612,130,302,x,x,16,x,x,524,x,x,x,50,8364,3476,643,1965,259,650,233,194,88,36,10,32,6,1,31,740,x,82,23,23,1,99,41,13,25,2,7,2,4,x,x,0,x,x,6,x,x,x,1,99,42,8,24,3,8,3,2,1,0,0,0,0,0,0,9
BW25,WK,153,Leipzig-Land,GE,14729150,"Geithain, Stadt",,,4145,1327,0,5472,4354,1278,1271,28,4326,1664,550,1086,84,353,80,194,x,x,9,x,x,306,x,x,x,25,4329,1684,395,995,137,362,140,106,49,21,5,13,3,2,6,411,x,80,29,29,1,99,39,13,25,2,8,2,5,x,x,0,x,x,7,x,x,x,1,99,39,9,23,3,8,3,2,1,1,0,0,0,0,0,10
BW25,WK,153,Leipzig-Land,GE,14729160,"Grimma, Stadt",,,16646,6015,0,22661,17831,5482,5461,215,17616,7034,1697,3453,364,1377,417,2116,x,x,65,x,x,1093,x,x,x,195,17636,7316,1419,3248,543,1377,607,1116,163,47,27,106,13,10,26,1618,x,79,31,31,1,99,40,10,20,2,8,2,12,x,x,0,x,x,6,x,x,x,1,99,42,8,18,3,8,3,6,1,0,0,1,0,0,0,9
BW25,WK,153,Leipzig-Land,GE,14729170,"Groitzsch, Stadt",,,4951,1252,0,6203,5037,1206,1201,38,4999,1969,547,1375,99,416,136,142,x,x,11,x,x,304,x,x,x,38,4999,1995,461,1217,133,427,168,85,50,17,2,20,9,1,12,402,x,81,24,24,1,99,39,11,28,2,8,3,3,x,x,0,x,x,6,x,x,x,1,99,40,9,24,3,9,3,2,1,0,0,0,0,0,0,8
BW25,WK,153,Leipzig-Land,GE,14729190,Großpösna,,,3156,1395,0,4551,4047,1349,1338,21,4026,1322,496,1025,137,354,197,262,x,x,9,x,x,224,x,x,x,20,4027,1337,359,963,195,409,272,93,47,9,4,24,5,2,7,301,x,89,33,33,1,100,33,12,26,3,9,5,7,x,x,0,x,x,6,x,x,x,1,100,33,9,24,5,10,7,2,1,0,0,1,0,0,0,8
BW25,WK,153,Leipzig-Land,GE,14729220,"Kitzscher, Stadt",,,3615,568,0,4183,3309,549,548,16,3293,1423,282,866,48,274,57,151,x,x,7,x,x,185,x,x,x,12,3297,1479,257,675,84,278,96,94,44,13,3,12,6,1,6,249,x,79,17,17,1,100,43,9,26,2,8,2,5,x,x,0,x,x,6,x,x,x,0,100,45,8,21,3,8,3,3,1,0,0,0,0,0,0,8
BW25,WK,153,Leipzig-Land,GE,14729245,Lossatal,,,3741,1222,0,4963,4110,1195,1193,16,4094,1906,320,907,79,333,88,193,x,x,12,x,x,256,x,x,x,18,4092,1920,284,823,112,291,108,120,32,13,5,11,4,0,9,360,x,83,29,29,0,100,47,8,22,2,8,2,5,x,x,0,x,x,6,x,x,x,0,100,47,7,20,3,7,3,3,1,0,0,0,0,0,0,9
BW25,WK,153,Leipzig-Land,GE,14729250,Machern,,,3891,1523,0,5414,4734,1478,1474,27,4707,1627,490,1333,142,421,211,174,x,x,8,x,x,301,x,x,x,25,4709,1630,399,1193,197,397,278,85,55,26,5,27,2,3,10,402,x,87,31,31,1,99,35,10,28,3,9,5,4,x,x,0,x,x,6,x,x,x,1,100,35,9,25,4,8,6,2,1,1,0,1,0,0,0,9
BW25,WK,153,Leipzig-Land,GE,14729260,"Markkleeberg, Stadt",,,12767,7221,0,19988,16839,6975,6947,96,16743,4024,2698,4643,680,1699,1411,374,x,x,76,x,x,1138,x,x,x,79,16760,4060,2063,4113,789,1955,1682,194,192,78,16,124,40,10,29,1415,x,84,41,41,1,99,24,16,28,4,10,8,2,x,x,1,x,x,7,x,x,x,1,100,24,12,25,5,12,10,1,1,1,0,1,0,0,0,8
BW25,WK,153,Leipzig-Land,GE,14729270,"Markranstädt, Stadt",,,9900,3337,0,13237,11117,3174,3162,80,11037,4071,1190,2900,306,986,499,283,x,x,26,x,x,776,x,x,x,75,11042,3971,1034,2605,398,1021,562,141,127,48,13,48,15,3,19,1037,x,84,29,28,1,99,37,11,26,3,9,5,3,x,x,0,x,x,7,x,x,x,1,99,36,9,24,4,9,5,1,1,0,0,0,0,0,0,9
BW25,WK,153,Leipzig-Land,GE,14729300,"Naunhof, Stadt",,,5096,2069,0,7165,6153,1985,1969,31,6122,2143,687,1552,199,518,269,319,x,x,19,x,x,416,x,x,x,26,6127,2168,556,1440,288,534,336,149,64,18,6,32,6,2,15,513,x,86,32,32,1,100,35,11,25,3,9,4,5,x,x,0,x,x,7,x,x,x,0,100,35,9,24,5,9,6,2,1,0,0,1,0,0,0,8
